Type,Status,Created Date,Delivered,Delivery Date,Received,Receive Date,Withdrawn,Withdraw Date,Expired,Expire Date,Locker Name,Locker Box Door,Locker Size,Pickup Duration,Delivery Duration,Collect Duration,Send Duration,Location Type,Address,Latitude,longitude,Borough,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
Receive,Completed,04/12/2024 01:26:00 PM,TRUE,04/12/2024 04:51:00 PM,TRUE,04/12/2024 01:26:00 PM,TRUE,04/12/2024 06:24:00 PM,TRUE,04/15/2024 04:51:00 PM,508-1,10,S,00.01.33.13,00.03.25.09,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/12/2024 01:28:00 PM,TRUE,04/12/2024 04:50:00 PM,TRUE,04/12/2024 01:28:00 PM,TRUE,04/12/2024 06:25:00 PM,TRUE,04/15/2024 04:50:00 PM,508-1,11,S,00.01.35.11,00.03.22.15,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/12/2024 01:30:00 PM,TRUE,04/12/2024 04:50:00 PM,TRUE,04/12/2024 01:30:00 PM,TRUE,04/12/2024 06:53:00 PM,TRUE,04/15/2024 04:50:00 PM,508-1,24,L,00.02.02.15,00.03.20.44,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/12/2024 02:57:00 PM,TRUE,04/12/2024 04:52:00 PM,TRUE,04/12/2024 02:57:00 PM,TRUE,04/12/2024 06:24:00 PM,TRUE,04/15/2024 04:52:00 PM,508-1,12,M,00.01.32.40,00.01.54.19,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/12/2024 04:55:00 PM,TRUE,04/12/2024 04:57:00 PM,TRUE,04/12/2024 04:55:00 PM,TRUE,04/12/2024 06:53:00 PM,TRUE,04/15/2024 04:57:00 PM,508-1,16,L,00.01.56.04,00.00.01.22,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Send,Completed,04/12/2024 06:58:00 PM,TRUE,04/12/2024 06:59:00 PM,FALSE,,TRUE,04/15/2024 04:34:00 PM,TRUE,04/15/2024 06:59:00 PM,508-1,24,M,,,02.21.34.09,00.00.01.25,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/13/2024 03:02:00 PM,TRUE,04/13/2024 06:10:00 PM,TRUE,04/13/2024 03:02:00 PM,TRUE,04/14/2024 01:48:00 PM,TRUE,04/14/2024 06:10:00 PM,508-1,10,S,00.19.38.08,00.03.07.41,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/13/2024 03:06:00 PM,TRUE,04/13/2024 06:11:00 PM,TRUE,04/13/2024 03:06:00 PM,TRUE,04/14/2024 12:08:00 PM,TRUE,04/16/2024 06:11:00 PM,508-1,12,S,00.17.57.05,00.03.04.41,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:27:00 PM,TRUE,04/15/2024 04:37:00 PM,TRUE,04/15/2024 02:27:00 PM,TRUE,04/15/2024 05:08:00 PM,TRUE,04/18/2024 04:37:00 PM,508-1,14,S,00.00.31.03,00.02.09.30,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
Receive,Completed,04/15/2024 02:31:00 PM,TRUE,04/15/2024 04:39:00 PM,TRUE,04/15/2024 02:31:00 PM,TRUE,04/15/2024 08:37:00 PM,TRUE,04/18/2024 04:39:00 PM,508-1,24,M,00.03.58.06,00.02.07.23,,,Indoor,"508  East 12th St, Newyork, NY 10009",40.72886533,-73.98083797,Manhattan,103,2,1005169,1004050012,34,MN0303
